Три прямые разделили плоскость на 7 областей. Можно ли расставить числа от 1 до 7 так, чтобы сумма чисел по одну сторону каждой прямой была больше суммы чисел по другую сторону ровно на 3?;Да;;
Две прямые разделили плоскость на 4 области. Можно ли расставить числа 1, 2, 3 и 4 так, чтобы сумма чисел по одну сторону каждой прямой была больше суммы чисел по другую сторону на 5?;Нет;;
Четыре прямые разделили плоскость на 11 областей. Можно ли расставить числа от 1 до 11 так, чтобы сумма чисел в двух любых смежных областях была равной?;Нет;;
Три прямые разделили плоскость на 7 областей. Можно ли расставить числа от 1 до 7 так, чтобы сумма чисел по разные стороны каждой прямой отличалась ровно на 4?;Да;;
Пять прямых разделили плоскость на 16 областей. Можно ли расставить числа от 1 до 16 так, чтобы сумма чисел по разные стороны любой прямой была равной?;Нет;;
Две прямые разделили плоскость на 4 области. Можно ли расставить числа 1, 2, 3, 4 так, чтобы сумма чисел по разные стороны любой прямой была равной?;Нет;;
Четыре прямые разделили плоскость на 11 областей. Можно ли расставить числа от 1 до 11 так, чтобы сумма чисел в каждой области была равной?;Нет;;
Три прямые разделили плоскость на 7 областей. Можно ли расставить числа от 1 до 7 так, чтобы сумма чисел по разные стороны одной из прямых была равной?;Да;;
Четыре прямые разделили плоскость на 11 областей. Можно ли расставить числа от 1 до 11 так, чтобы сумма чисел по разные стороны ровно одной прямой была равной?;Да;;
"Имеется несколько доминошек трёх типов: каждая покрашена в два из трёх
имеющихся цветов — всего три разных вида. Доминошки выложены в замкнутую цепочку
по правилам игры домино. Может ли так случиться, что количества доминошек каждого типа
являются тремя последовательными числами?";Нет;;
Имеются несколько монеток двух типов: пятирублевые и десятирублевые. Монетки разложены в ряд так, что каждая следующая монета отличается от предыдущей либо номиналом, либо цветом. Может ли так получиться, что количество монеток каждого типа является тремя последовательными числами?;Нет;;
На столе лежат карандаши трёх цветов: красный, синий и зелёный. Карандаши расположены в круге так, что соседние карандаши имеют разные цвета. Может ли оказаться, что количество карандашей каждого цвета являются тремя последовательными числами?;Нет;;
В классе учатся мальчики и девочки. Каждый ученик дружит ровно с одним учеником противоположного пола. Может ли оказаться, что количество мальчиков и девочек в классе являются двумя последовательными числами?;Да;;
В зоопарке живут слоны, жирафы и зебры. Каждое животное имеет ровно одного друга среди животных другого вида. Может ли оказаться, что количество слонов, жирафов и зебр являются тремя последовательными числами?;Нет;;
В библиотеке стоят книги трёх авторов: Пушкина, Лермонтова и Гоголя. Книги расставлены на полках так, что рядом не стоят две книги одного автора. Может ли оказаться, что количество книг каждого автора являются тремя последовательными числами?;Нет;;
В саду растут яблони, груши и вишни. Каждая яблоня соединена веткой с одной грушей, каждая груша – с одной вишней, каждая вишня – с одной яблоней. Может ли оказаться, что количество яблонь, груш и вишен являются тремя последовательными числами?;Нет;;
На шахматной доске расставлены чёрные и белые фигуры. Каждая фигура стоит на клетке своего цвета. Может ли оказаться, что количество чёрных и белых фигур являются двумя последовательными числами?;Да;;
В аквариуме плавают рыбки трёх видов: золотые, серебряные и бронзовые. Каждая рыбка имеет одного друга среди рыбок другого вида. Может ли оказаться, что количество золотых, серебряных и бронзовых рыбок являются тремя последовательными числами?;Нет;;
В магазине продаются конфеты трёх сортов: шоколадные, фруктовые и карамельные. Конфеты разложены в коробки так, что в каждой коробке находится ровно одна конфета каждого сорта. Может ли оказаться, что количество шоколадных, фруктовых и карамельных конфет являются тремя последовательными числами?;Нет;;
В гараже стоят машины трёх марок: Audi, BMW и Mercedes. Машины припаркованы в ряд так, что каждая машина стоит между машинами других марок. Может ли оказаться, что количество машин каждой марки являются тремя последовательными числами?;Нет;;
В лесу растут дубы, берёзы и клёны. Каждое дерево связано корнями с деревьями других пород. Может ли оказаться, что количество дубов, берёз и клёнов являются тремя последовательными числами?;Нет;;
В офисе работают программисты, дизайнеры и менеджеры. Каждый сотрудник общается только с сотрудниками других специальностей. Может ли оказаться, что количество программистов, дизайнеров и менеджеров являются тремя последовательными числами?;Нет;;
В ресторане подаются блюда трёх видов: супы, салаты и десерты. Блюда сервируются на столах так, что на каждом столе присутствует блюдо каждого вида. Может ли оказаться, что количество супов, салатов и десертов являются тремя последовательными числами?;Нет;;
В цирке выступают акробаты, клоуны и дрессированные животные. Артисты выходят на арену парами, причём в каждой паре участники разных профессий. Может ли оказаться, что количество акробатов, клоунов и дрессированных животных являются тремя последовательными числами?;Нет;;
В саду растут розы, тюльпаны и пионы. Цветы высажены в клумбы так, что в каждой клумбе присутствуют цветы всех трёх видов. Может ли оказаться, что количество роз, тюльпанов и пионов являются тремя последовательными числами?;Нет;;
Найдите сумму всех двузначных чисел, которые делятся на 17 без остатка.;119;;
Сколько существует целых чисел от 100 до 999, которые делятся на 19?;27;;
Найти сумму всех натуральных чисел, меньших 200, которые кратны 7.;1990;;
Найти сумму всех чисел от 1 до 100, которые делятся на 5.;1050;;
Найти сумму всех чисел от 1 до 50, которые делятся на 3 или на 5.;580;;
Найти сумму всех чисел от 1 до 500, которые делятся на 23.;5650;;
Найти сумму всех чисел от 1 до 300, которые делятся на 29.;4350;;
Найти сумму всех чисел от 1 до 400, которые делятся на 31.;6200;;
Найти сумму всех чисел от 1 до 600, которые делятся на 37.;11100;;
Найти сумму всех чисел от 1 до 700, которые делятся на 41.;14440;;
Найти сумму всех чисел от 1 до 800, которые делятся на 43.;17290;;
Найти сумму всех чисел от 1 до 900, которые делятся на 47.;20280;;
Найти сумму всех чисел от 1 до 1000, которые делятся на 53.;26500;;
Найти сумму всех чисел от 1 до 1100, которые делятся на 59.;34870;;
Найти сумму всех чисел от 1 до 1200, которые делятся на 61.;43320;;
Найти сумму всех чисел от 1 до 1300, которые делятся на 67.;52100;;
Найти сумму всех чисел от 1 до 1400, которые делятся на 71.;61140;;
Найти сумму всех чисел от 1 до 1500, которые делятся на 73.;70350;;
Найти сумму всех чисел от 1 до 1600, которые делятся на 79.;79760;;
Найти сумму всех чисел от 1 до 1700, которые делятся на 83.;89340;;
Петя, Вася и Миша решили вместе купить книгу. Петя дал 100 рублей, Вася — 75 рублей, а Миша — 125 рублей. Книга стоила 250 рублей. Как они должны разделить сдачу поровну? (ответ дать в руюлях);17;;
На столе лежат четыре монеты, из которых одна фальшивая (она легче настоящих). За какое минимальное количество взвешиваний на чашечных весах без гирь можно найти фальшивую монету?;2;;
На столе 100 монет 1 из них фальшивая, неизвестно тяжелее она или легче. Можно ли за 4 взвешивания найти фальшивую монету и определить тяжелее она или легче?;Да;;
В школе учатся 1000 учеников. Известно, что 40% из них изучают английский язык, 35% — немецкий язык, а 25% — французский язык. При этом 10% учеников изучают и английский, и немецкий языки, 8% — английский и французский, 6% — немецкий и французский, а 3% — все три языка. Сколько учеников не изучает ни один из этих языков?;5;;
В ящике лежат шары двух цветов: красные и синие. Известно, что если вынуть из ящика два шара, то вероятность того, что оба шара окажутся красными, равна 1/3. Сколько красных шаров в ящике, если всего там 6 шаров?;4;;
